S.No,College Name,Location,Latitude,Longitude,Website,Image
1,IIT Kanpur,Kanpur,26.5123,80.2329,https://www.iitk.ac.in/,https://upload.wikimedia.org/wikipedia/commons/d/df/IIT_Kharagpur_Main_Building.JPG
2,IIT Delhi,New Delhi,28.545,77.1926,http://www.iitd.ac.in/,"https://www.businessinsider.in/thumb/msid-70449588,width-600,resizemode-4,imgsize-2452715/education/iit-delhi-and-kharagpur-worst-hit-as-2400-students-drop-out-in-total/iit_delhi_entrance.jpg"
3,Medicaps University,Indore,22.621,75.8036,http://www.medicaps.ac.in/,https://images.shiksha.com/mediadata/images/1575629515php2dWoIN.jpeg
4,NIT Trichy,Truchirappalli,10.7589,78.8132,https://www.nitt.edu/,https://upload.wikimedia.org/wikipedia/commons/a/a1/NIT_Trichy_Clock_tower.jpg
5,IIT Bombay,"Powai,Mumbai",19.1334,72.9133,http://www.iitb.ac.in/,https://images.shiksha.com/mediadata/images/1507098026phpzkXsFb.jpeg
6,IIT Madras,Chennai,12.9915,80.2337,https://www.iitm.ac.in/,https://images.shiksha.com/mediadata/images/1488171142phpcUJ7yi.jpeg
7,Bits Pilani,Pilani,28.3588,75.588,https://www.bits-pilani.ac.in/,https://www.bitsadmission.com/images1/site%20img/31.jpg
8,IIT Guwahati,Guwahati,26.1878,91.6916,http://www.iitg.ac.in/,https://images.static-collegedunia.com/public/college_data/images/appImage/25396_IIT_New.jpg
9,IIT Bhubaneswar,Bhubaneswar,20.1439,85.6762,https://www.iitbbs.ac.in/,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Master_Plan_of_IIT_Bhubaneswar_Main_Building.jpg/440px-Master_Plan_of_IIT_Bhubaneswar_Main_Building.jpg
10,ISM Dhanbad,Dhanbad,23.8144,86.4412,https://www.iitism.ac.in/,https://new-img.patrika.com/upload/images/2016/05/26/ISM-dhanbad-1464239659_835x547.jpg
